MSSubClass,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,ExterQual,ExterCond,Foundation,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleCondition,SalePrice
60,8450,1,3,3,4,0,5,2,2,0,5,7,5,2003,2003,1,1,2,4,2,1,0,1,856,854,0,1710,2,1,3,1,8,0,2,0,61,0,0,0,0,0,2,2008,4,208500
20,9600,1,3,3,2,0,24,1,2,0,2,6,8,1976,1976,1,1,3,4,1,1,0,1,1262,0,0,1262,2,0,3,1,6,1,2,298,0,0,0,0,0,0,5,2007,4,181500
60,11250,1,0,3,4,0,5,2,2,0,5,7,5,2001,2002,1,1,2,4,2,1,0,1,920,866,0,1786,2,1,3,1,6,1,2,0,42,0,0,0,0,0,9,2008,4,223500
70,9550,1,0,3,0,0,6,2,2,0,5,7,5,1915,1970,1,1,3,4,0,1,2,1,961,756,0,1717,1,0,3,1,7,1,2,0,35,272,0,0,0,0,2,2006,0,140000
60,14260,1,0,3,2,0,15,2,2,0,5,8,5,2000,2000,1,1,2,4,2,1,0,1,1145,1053,0,2198,2,1,4,1,9,1,2,192,84,0,0,0,0,0,12,2008,4,250000
50,14115,1,0,3,4,0,11,2,2,0,0,5,5,1993,1995,1,1,3,4,5,1,0,1,796,566,0,1362,1,1,1,1,5,0,2,40,30,0,320,0,0,700,10,2009,4,143000
20,10084,1,3,3,4,0,21,2,2,0,2,8,5,2004,2005,1,1,2,4,2,1,0,1,1694,0,0,1694,2,0,3,1,7,1,2,255,57,0,0,0,0,0,8,2007,4,307000
60,10382,1,0,3,0,0,14,4,2,0,5,7,6,1973,1973,1,1,3,4,1,1,0,1,1107,983,0,2090,2,1,3,1,7,2,2,235,204,228,0,0,0,350,11,2009,4,200000
50,6120,1,3,3,4,0,17,0,2,0,0,7,5,1931,1950,1,1,3,4,0,1,2,1,1022,752,0,1774,2,0,2,2,8,2,2,90,0,205,0,0,0,0,4,2008,0,129900
190,7420,1,3,3,0,0,3,0,0,1,1,5,6,1939,1950,1,1,3,4,0,1,0,1,1077,0,0,1077,1,0,2,2,5,2,2,0,4,0,0,0,0,0,1,2008,4,118000
20,11200,1,3,3,4,0,19,2,2,0,2,5,5,1965,1965,3,1,3,4,1,1,0,1,1040,0,0,1040,1,0,3,1,5,0,2,0,0,0,0,0,0,0,2,2008,4,129500
60,11924,1,0,3,4,0,16,2,2,0,5,9,5,2005,2006,3,1,0,4,2,1,0,1,1182,1142,0,2324,3,0,4,1,11,2,2,147,21,0,0,0,0,0,7,2006,5,345000
20,12968,1,1,3,4,0,19,2,2,0,2,5,6,1962,1962,3,1,3,4,1,1,4,1,912,0,0,912,1,0,2,1,4,0,2,140,0,0,0,176,0,0,9,2008,4,144000
20,10652,1,0,3,4,0,5,2,2,0,2,7,5,2006,2007,1,1,2,4,2,1,0,1,1494,0,0,1494,2,0,3,1,7,1,2,160,33,0,0,0,0,0,8,2007,5,279500
20,10920,1,0,3,0,0,12,2,2,0,2,6,5,1960,1960,3,1,3,4,1,1,4,1,1253,0,0,1253,1,1,2,1,5,1,2,0,213,176,0,0,0,0,5,2008,4,157000
45,6120,1,3,3,0,0,3,2,2,0,1,7,8,1929,2001,1,1,3,4,0,1,0,1,854,0,0,854,1,0,2,1,5,0,2,48,112,0,0,0,0,0,7,2007,4,132000
20,11241,1,0,3,1,0,12,2,2,0,2,6,7,1970,1970,1,1,3,4,1,1,0,1,1004,0,0,1004,1,0,2,1,5,1,2,0,0,0,0,0,0,700,3,2010,4,149000
90,10791,1,3,3,4,0,19,2,2,2,2,4,5,1967,1967,1,1,3,4,3,1,4,1,1296,0,0,1296,2,0,2,2,6,0,2,0,0,0,0,0,0,500,10,2006,4,90000
20,13695,1,3,3,4,0,20,5,2,0,2,5,5,2004,2004,1,1,3,4,2,1,0,1,1114,0,0,1114,1,1,3,1,6,0,2,0,102,0,0,0,0,0,6,2008,4,159000
20,7560,1,3,3,4,0,12,2,2,0,2,5,6,1958,1965,3,1,3,4,1,1,4,1,1339,0,0,1339,1,0,3,1,6,0,2,0,0,0,0,0,0,0,5,2009,0,139000
60,14215,1,0,3,0,0,16,2,2,0,5,8,5,2005,2006,1,1,2,4,2,1,0,1,1158,1218,0,2376,3,1,4,1,9,1,2,240,154,0,0,0,0,0,11,2006,5,325300
45,7449,1,3,0,4,0,9,2,2,0,1,7,7,1930,1950,1,1,3,4,2,1,0,1,1108,0,0,1108,1,0,3,1,6,1,0,0,0,205,0,0,0,0,6,2007,4,139400
